loan_type,interest_rate,loan_term_months,inflation_rate,loan_amount,channel,amortization_method,total_monthly_payments,total_mortgage_interest,total_investment_amount,total_investment_final_value,total_investment_profit,total_investment_taxes,total_investment_profit_after_tax,total_investment_net_value_after_tax,total_cost_interest_minus_profit,extraction_timestamp,source_file
זכאות,3.63,270,2.0,100000,זכאות,בוליט,270,103213.79,220060.44,530558.62,160864.56,53621.52,,476937.10,-57650.76,20250725_002311,loan_זכאות_int_3.63_term_270_infl_2.0_summary.csv
יורו,3.35,150,3.0,100000,יורו,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235247,loan_יורו_int_3.35_term_150_infl_3.0_summary.csv
משתנה צמודה כל 5,3.83,60,3.0,100000,משתנה צמודה כל 5,בוליט,60,20684.66,50486.09,60164.72,4289.78,1429.93,,58734.79,16394.87,20250724_232724,loan_משתנה צמודה כל 5_int_3.83_term_60_infl_3.0_summary.csv
משתנה צמודה כל 5,3.35,180,2.0,100000,משתנה צמודה כל 5,בוליט,180,58642.47,156534.27,273657.04,56916.94,18972.31,,254684.73,1725.53,20250724_235839,loan_משתנה צמודה כל 5_int_3.35_term_180_infl_2.0_summary.csv
משתנה צמודה כל 10,3.45,120,4.0,100000,משתנה צמודה כל 10,בוליט,120,42475.43,100753.18,145288.10,20698.96,6899.65,,138388.44,21776.47,20250724_234930,loan_משתנה צמודה כל 10_int_3.45_term_120_infl_4.0_summary.csv
"עוגן מק""מ",3.55,330,3.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004150,"loan_עוגן מק""מ_int_3.55_term_330_infl_3.0_summary.csv"
זכאות,3.83,60,1.0,100000,זכאות,בוליט,60,19644.80,51490.72,61292.84,4343.87,1447.96,,59844.88,15300.93,20250724_232751,loan_זכאות_int_3.83_term_60_infl_1.0_summary.csv
משתנה צמודה כל 2,3.63,270,3.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002746,loan_משתנה צמודה כל 2_int_3.63_term_270_infl_3.0_summary.csv
משתנה צמודה כל 10,3.83,30,4.0,100000,משתנה צמודה כל 10,בוליט,360,222255.83,209601.73,810049.10,332285.39,110761.80,,699287.30,-110029.57,20250724_232552,loan_משתנה צמודה כל 10_int_3.83_term_30_infl_4.0_summary.csv
משתנה צמודה כל 10,3.55,330,3.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004426,loan_משתנה צמודה כל 10_int_3.55_term_330_infl_3.0_summary.csv
משתנה לא צמודה כל 5,5.05,330,1.0,100000,קבועה לא צמודה,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231440,loan_משתנה לא צמודה כל 5_int_5.05_term_330_infl_1.0_summary.csv
דולר,3.67,210,2.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_000911,loan_דולר_int_3.67_term_210_infl_2.0_summary.csv
משתנה צמודה כל 5,3.35,150,3.0,100000,קבועה צמודה,בוליט,150,54396.36,124863.52,199113.39,35317.01,11772.34,,187341.05,19079.36,20250724_235102,loan_משתנה צמודה כל 5_int_3.35_term_150_infl_3.0_summary.csv
"עוגן מק""מ",3.83,30,2.0,100000,"עוגן מק""מ",בוליט,300,95750.00,263369.17,688848.56,224313.26,74771.09,,614077.47,-128563.26,20250724_232247,"loan_עוגן מק""מ_int_3.83_term_30_infl_2.0_summary.csv"
משתנה לא צמודה כל 5,5.04,30,3.0,100000,משתנה לא צמודה כל 5,בוליט,300,126000.00,233220.00,609992.67,198635.02,66211.67,,543781.00,-72635.02,20250724_230132,loan_משתנה לא צמודה כל 5_int_5.04_term_30_infl_3.0_summary.csv
קבועה צמודה,3.55,360,3.0,100000,קבועה צמודה,בוליט,360,172823.98,258702.84,918125.06,363166.78,121055.59,,797069.47,-190342.80,20250725_004518,loan_קבועה צמודה_int_3.55_term_360_infl_3.0_summary.csv
קבועה צמודה,3.35,150,3.0,100000,קבועה צמודה,בוליט,150,50858.19,128347.81,203738.72,35842.77,11947.59,,191791.13,15015.42,20250724_235010,loan_קבועה צמודה_int_3.35_term_150_infl_3.0_summary.csv
"עוגן מק""מ",3.45,90,1.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233822,"loan_עוגן מק""מ_int_3.45_term_90_infl_1.0_summary.csv"
משתנה צמודה כל שנה,3.63,300,1.0,100000,משתנה צמודה כל שנה,בוליט,300,103138.58,256049.80,678619.89,223045.06,74348.35,,604271.54,-119906.48,20250725_003423,loan_משתנה צמודה כל שנה_int_3.63_term_300_infl_1.0_summary.csv
משתנה צמודה כל 10,3.63,270,1.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002812,loan_משתנה צמודה כל 10_int_3.63_term_270_infl_1.0_summary.csv
קבועה צמודה,3.63,270,3.0,100000,קבועה צמודה,בוליט,270,116739.01,206654.61,507848.28,156287.93,52095.98,,455752.30,-39548.92,20250725_002140,loan_קבועה צמודה_int_3.63_term_270_infl_3.0_summary.csv
קבועה לא צמודה,4.83,150,4.0,100000,קבועה לא צמודה,בוליט,150,60375.00,118827.50,186750.54,32256.24,10752.08,,175998.46,28118.76,20250724_230608,loan_קבועה לא צמודה_int_4.83_term_150_infl_4.0_summary.csv
משתנה צמודה כל 10,3.35,180,3.0,100000,משתנה צמודה כל 2,בוליט,180,68929.26,146378.91,259339.21,54966.37,18322.12,,241017.08,13962.89,20250725_000502,loan_משתנה צמודה כל 10_int_3.35_term_180_infl_3.0_summary.csv
זכאות,3.63,300,4.0,100000,זכאות,בוליט,300,156042.60,203578.31,584386.47,202194.81,67398.27,,516988.20,-46152.20,20250725_003130,loan_זכאות_int_3.63_term_300_infl_4.0_summary.csv
קבועה צמודה,3.35,150,4.0,100000,קבועה צמודה,בוליט,150,54396.36,124863.52,199113.39,35317.01,11772.34,,187341.05,19079.36,20250724_235023,loan_קבועה צמודה_int_3.35_term_150_infl_4.0_summary.csv
משתנה צמודה כל 10,3.67,240,1.0,100000,משתנה צמודה כל 10,בוליט,240,81285.16,205888.35,440063.15,118713.69,39571.23,,400491.92,-37428.53,20250725_002020,loan_משתנה צמודה כל 10_int_3.67_term_240_infl_1.0_summary.csv
קבועה צמודה,3.67,240,2.0,100000,קבועה צמודה,בוליט,240,90308.96,196947.13,425579.53,116023.11,38674.37,,386905.16,-25714.15,20250725_001331,loan_קבועה צמודה_int_3.67_term_240_infl_2.0_summary.csv
משתנה צמודה כל 2,3.35,150,4.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235628,loan_משתנה צמודה כל 2_int_3.35_term_150_infl_4.0_summary.csv
קבועה צמודה,3.63,300,2.0,100000,קבועה צמודה,בוליט,300,117814.42,241484.11,651756.49,216881.49,72293.83,,579462.66,-99067.07,20250725_002918,loan_קבועה צמודה_int_3.63_term_300_infl_2.0_summary.csv
זכאות,3.55,330,1.0,100000,זכאות,בוליט,330,112408.47,282780.96,837204.28,298319.22,99439.74,,737764.54,-185910.75,20250725_003846,loan_זכאות_int_3.55_term_330_infl_1.0_summary.csv
משתנה צמודה כל 2,3.45,120,2.0,100000,משתנה צמודה כל שנה,בוליט,120,42475.43,100753.18,145288.10,20698.96,6899.65,,138388.44,21776.47,20250724_234812,loan_משתנה צמודה כל 2_int_3.45_term_120_infl_2.0_summary.csv
משתנה צמודה כל 2,3.45,120,3.0,100000,משתנה צמודה כל שנה,בוליט,120,42475.43,100753.18,145288.10,20698.96,6899.65,,138388.44,21776.47,20250724_234825,loan_משתנה צמודה כל 2_int_3.45_term_120_infl_3.0_summary.csv
פריים,4.97,300,3.0,100000,פריים,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_225714,loan_פריים_int_4.97_term_300_infl_3.0_summary.csv
זכאות,3.67,240,3.0,100000,זכאות,בוליט,240,100656.71,186700.14,409234.82,113070.11,37690.04,,371544.78,-12413.40,20250725_001530,loan_זכאות_int_3.67_term_240_infl_3.0_summary.csv
קבועה לא צמודה,4.97,300,4.0,100000,קבועה לא צמודה,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_225820,loan_קבועה לא צמודה_int_4.97_term_300_infl_4.0_summary.csv
יורו,3.67,210,3.0,100000,יורו,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_000832,loan_יורו_int_3.67_term_210_infl_3.0_summary.csv
משתנה לא צמודה כל 5,4.83,180,4.0,100000,משתנה לא צמודה כל 5,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225354,loan_משתנה לא צמודה כל 5_int_4.83_term_180_infl_4.0_summary.csv
משתנה צמודה כל 2,3.67,240,2.0,100000,משתנה צמודה כל שנה,בוליט,240,112545.81,174933.93,390747.06,109822.90,36607.63,,354139.43,2722.91,20250725_001941,loan_משתנה צמודה כל 2_int_3.67_term_240_infl_2.0_summary.csv
משתנה צמודה כל 5,3.83,60,2.0,100000,משתנה צמודה כל 5,בוליט,60,20156.15,50996.55,60737.66,4317.15,1439.05,,59298.62,15839.00,20250724_232711,loan_משתנה צמודה כל 5_int_3.83_term_60_infl_2.0_summary.csv
משתנה צמודה כל שנה,3.83,30,4.0,100000,משתנה צמודה כל שנה,בוליט,300,164639.99,195026.15,564878.82,196497.97,65499.32,,499379.50,-31857.98,20250724_232406,loan_משתנה צמודה כל שנה_int_3.83_term_30_infl_4.0_summary.csv
פריים,5.05,360,4.0,100000,פריים,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231611,loan_פריים_int_5.05_term_360_infl_4.0_summary.csv
פריים,4.96,240,2.0,100000,פריים,בוליט,240,99200.00,188013.33,398475.28,106602.34,35534.11,,362941.17,-7402.34,20250724_225421,loan_פריים_int_4.96_term_240_infl_2.0_summary.csv
משתנה צמודה כל 10,3.63,300,1.0,100000,משתנה צמודה כל 2,בוליט,300,156042.60,203578.31,584386.47,202194.81,67398.27,,516988.20,-46152.20,20250725_003609,loan_משתנה צמודה כל 10_int_3.63_term_300_infl_1.0_summary.csv
קבועה לא צמודה,4.97,300,3.0,100000,קבועה לא צמודה,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_225807,loan_קבועה לא צמודה_int_4.97_term_300_infl_3.0_summary.csv
משתנה צמודה כל 10,3.35,180,2.0,100000,משתנה צמודה כל 2,בוליט,180,68929.26,146378.91,259339.21,54966.37,18322.12,,241017.08,13962.89,20250725_000449,loan_משתנה צמודה כל 10_int_3.35_term_180_infl_2.0_summary.csv
יורו,3.67,210,2.0,100000,יורו,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_000818,loan_יורו_int_3.67_term_210_infl_2.0_summary.csv
"עוגן מק""מ",3.63,270,4.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002616,"loan_עוגן מק""מ_int_3.63_term_270_infl_4.0_summary.csv"
משתנה לא צמודה כל 5,4.96,240,2.0,100000,משתנה לא צמודה כל 5,בוליט,240,99200.00,188013.33,398475.28,106602.34,35534.11,,362941.17,-7402.34,20250724_225607,loan_משתנה לא צמודה כל 5_int_4.96_term_240_infl_2.0_summary.csv
משתנה צמודה כל 10,3.45,120,3.0,100000,משתנה צמודה כל 10,בוליט,120,40276.10,102911.84,147997.03,20948.34,6982.78,,141014.25,19327.75,20250724_234917,loan_משתנה צמודה כל 10_int_3.45_term_120_infl_3.0_summary.csv
קבועה לא צמודה,4.96,240,1.0,100000,קבועה לא צמודה,בוליט,240,99200.00,188013.33,398475.28,106602.34,35534.11,,362941.17,-7402.34,20250724_225501,loan_קבועה לא צמודה_int_4.96_term_240_infl_1.0_summary.csv
"עוגן מק""מ",3.83,60,2.0,100000,"עוגן מק""מ",בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_233042,"loan_עוגן מק""מ_int_3.83_term_60_infl_2.0_summary.csv"
משתנה לא צמודה כל 5,4.96,240,3.0,100000,משתנה לא צמודה כל 5,בוליט,240,99200.00,188013.33,398475.28,106602.34,35534.11,,362941.17,-7402.34,20250724_225621,loan_משתנה לא צמודה כל 5_int_4.96_term_240_infl_3.0_summary.csv
דולר,3.67,210,1.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_000858,loan_דולר_int_3.67_term_210_infl_1.0_summary.csv
משתנה לא צמודה כל 5,4.96,210,4.0,100000,קבועה לא צמודה,בוליט,210,86800.00,164413.33,314693.32,74543.49,24847.83,,289845.49,12256.51,20250724_230937,loan_משתנה לא צמודה כל 5_int_4.96_term_210_infl_4.0_summary.csv
קבועה צמודה,3.83,30,4.0,100000,קבועה צמודה,בוליט,30,10086.03,25066.65,27323.12,976.24,325.41,,26997.71,9109.78,20250724_231850,loan_קבועה צמודה_int_3.83_term_30_infl_4.0_summary.csv
"עוגן מק""מ",3.45,90,2.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233835,"loan_עוגן מק""מ_int_3.45_term_90_infl_2.0_summary.csv"
משתנה לא צמודה כל 5,4.92,120,3.0,100000,משתנה לא צמודה כל 5,בוליט,120,49200.00,94010.00,134340.87,18725.21,6241.74,,128099.13,30474.79,20250724_225102,loan_משתנה לא צמודה כל 5_int_4.92_term_120_infl_3.0_summary.csv
פריים,4.83,150,3.0,100000,פריים,בוליט,150,60375.00,118827.50,186750.54,32256.24,10752.08,,175998.46,28118.76,20250724_230502,loan_פריים_int_4.83_term_150_infl_3.0_summary.csv
משתנה צמודה כל 10,3.55,330,1.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004400,loan_משתנה צמודה כל 10_int_3.55_term_330_infl_1.0_summary.csv
פריים,4.97,270,4.0,100000,פריים,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_231030,loan_פריים_int_4.97_term_270_infl_4.0_summary.csv
משתנה לא צמודה כל 5,5.04,30,1.0,100000,משתנה לא צמודה כל 5,בוליט,300,126000.00,233220.00,609992.67,198635.02,66211.67,,543781.00,-72635.02,20250724_230106,loan_משתנה לא צמודה כל 5_int_5.04_term_30_infl_1.0_summary.csv
משתנה צמודה כל 10,3.63,300,3.0,100000,משתנה צמודה כל 2,בוליט,300,156042.60,203578.31,584386.47,202194.81,67398.27,,516988.20,-46152.20,20250725_003635,loan_משתנה צמודה כל 10_int_3.63_term_300_infl_3.0_summary.csv
משתנה צמודה כל שנה,3.45,120,3.0,100000,משתנה צמודה כל שנה,בוליט,120,40276.10,102911.84,147997.03,20948.34,6982.78,,141014.25,19327.75,20250724_234733,loan_משתנה צמודה כל שנה_int_3.45_term_120_infl_3.0_summary.csv
קבועה צמודה,3.45,90,4.0,100000,קבועה צמודה,בוליט,90,30217.64,76970.25,100721.23,10782.01,3594.00,,97127.23,19435.63,20250724_233439,loan_קבועה צמודה_int_3.45_term_90_infl_4.0_summary.csv
זכאות,3.83,60,3.0,100000,זכאות,בוליט,60,20684.66,50486.09,60164.72,4289.78,1429.93,,58734.79,16394.87,20250724_232817,loan_זכאות_int_3.83_term_60_infl_3.0_summary.csv
משתנה צמודה כל 2,3.67,210,4.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001213,loan_משתנה צמודה כל 2_int_3.67_term_210_infl_4.0_summary.csv
משתנה צמודה כל שנה,3.35,150,1.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235458,loan_משתנה צמודה כל שנה_int_3.35_term_150_infl_1.0_summary.csv
משתנה לא צמודה כל 5,5.05,360,1.0,100000,משתנה לא צמודה כל 5,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231718,loan_משתנה לא צמודה כל 5_int_5.05_term_360_infl_1.0_summary.csv
משתנה צמודה כל שנה,3.67,240,1.0,100000,משתנה צמודה כל שנה,בוליט,240,81285.16,205888.35,440063.15,118713.69,39571.23,,400491.92,-37428.53,20250725_001836,loan_משתנה צמודה כל שנה_int_3.67_term_240_infl_1.0_summary.csv
זכאות,3.35,180,3.0,100000,זכאות,בוליט,180,63521.62,151715.96,266833.67,55976.65,18658.88,,248174.78,7544.96,20250724_235945,loan_זכאות_int_3.35_term_180_infl_3.0_summary.csv
משתנה צמודה כל שנה,3.55,360,1.0,100000,משתנה צמודה כל שנה,בוליט,360,124243.46,306955.82,1017914.40,389731.59,129910.53,,888003.87,-265488.13,20250725_005011,loan_משתנה צמודה כל שנה_int_3.55_term_360_infl_1.0_summary.csv
"עוגן מק""מ",3.45,90,3.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233848,"loan_עוגן מק""מ_int_3.45_term_90_infl_3.0_summary.csv"
דולר,3.83,30,2.0,100000,דולר,בוליט,30,9575.00,25544.17,27829.45,988.63,329.54,,27499.90,8586.37,20250724_232154,loan_דולר_int_3.83_term_30_infl_2.0_summary.csv
משתנה צמודה כל 2,3.83,60,4.0,100000,משתנה צמודה כל 2,בוליט,60,21230.96,49958.74,59573.37,4261.76,1420.59,,58152.78,16969.20,20250724_233254,loan_משתנה צמודה כל 2_int_3.83_term_60_infl_4.0_summary.csv
משתנה צמודה כל 10,3.45,90,3.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_234123,loan_משתנה צמודה כל 10_int_3.45_term_90_infl_3.0_summary.csv
משתנה צמודה כל 5,3.67,210,2.0,100000,קבועה צמודה,בוליט,210,93106.18,158308.97,314577.77,77790.99,25930.33,,288647.44,15315.19,20250725_000633,loan_משתנה צמודה כל 5_int_3.67_term_210_infl_2.0_summary.csv
קבועה לא צמודה,5.05,360,2.0,100000,קבועה לא צמודה,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231638,loan_קבועה לא צמודה_int_5.05_term_360_infl_2.0_summary.csv
דולר,3.55,330,4.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004111,loan_דולר_int_3.55_term_330_infl_4.0_summary.csv
משתנה צמודה כל 5,3.45,90,4.0,100000,קבועה צמודה,בוליט,90,30217.64,76970.25,100721.23,10782.01,3594.00,,97127.23,19435.63,20250724_233531,loan_משתנה צמודה כל 5_int_3.45_term_90_infl_4.0_summary.csv
פריים,4.83,180,4.0,100000,פריים,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225209,loan_פריים_int_4.83_term_180_infl_4.0_summary.csv
משתנה צמודה כל שנה,3.35,150,3.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235524,loan_משתנה צמודה כל שנה_int_3.35_term_150_infl_3.0_summary.csv
"עוגן מק""מ",3.67,240,3.0,100000,"עוגן מק""מ",בוליט,240,73400.00,213705.83,452927.94,121169.82,40389.94,,412538.00,-47769.82,20250725_001809,"loan_עוגן מק""מ_int_3.67_term_240_infl_3.0_summary.csv"
משתנה צמודה כל 2,3.45,90,3.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_234031,loan_משתנה צמודה כל 2_int_3.45_term_90_infl_3.0_summary.csv
משתנה צמודה כל 10,3.67,210,1.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001226,loan_משתנה צמודה כל 10_int_3.67_term_210_infl_1.0_summary.csv
דולר,3.63,270,4.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002524,loan_דולר_int_3.63_term_270_infl_4.0_summary.csv
זכאות,3.45,120,3.0,100000,זכאות,בוליט,120,40276.10,102911.84,147997.03,20948.34,6982.78,,141014.25,19327.75,20250724_234401,loan_זכאות_int_3.45_term_120_infl_3.0_summary.csv
יורו,3.45,90,2.0,100000,יורו,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233650,loan_יורו_int_3.45_term_90_infl_2.0_summary.csv
"עוגן מק""מ",3.35,150,4.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235445,"loan_עוגן מק""מ_int_3.35_term_150_infl_4.0_summary.csv"
פריים,5.04,60,4.0,100000,פריים,בוליט,60,25200.00,46020.00,54752.77,3869.71,1289.90,,53462.86,21330.29,20250724_224651,loan_פריים_int_5.04_term_60_infl_4.0_summary.csv
קבועה לא צמודה,5.05,330,4.0,100000,קבועה לא צמודה,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231427,loan_קבועה לא צמודה_int_5.05_term_330_infl_4.0_summary.csv
פריים,5.04,30,4.0,100000,פריים,בוליט,30,12600.00,22620.00,24643.67,875.46,291.82,,24351.85,11724.54,20250724_230000,loan_פריים_int_5.04_term_30_infl_4.0_summary.csv
משתנה צמודה כל 5,3.83,30,2.0,100000,משתנה צמודה כל 5,בוליט,300,124305.57,235020.42,635960.69,211993.84,70664.61,,565296.08,-87688.27,20250724_231916,loan_משתנה צמודה כל 5_int_3.83_term_30_infl_2.0_summary.csv
משתנה צמודה כל 2,3.55,360,3.0,100000,משתנה צמודה כל שנה,בוליט,360,206007.36,225772.88,853335.34,346861.49,115620.50,,737714.85,-140854.13,20250725_005130,loan_משתנה צמודה כל 2_int_3.55_term_360_infl_3.0_summary.csv
זכאות,3.83,60,4.0,100000,זכאות,בוליט,60,21230.96,49958.74,59573.37,4261.76,1420.59,,58152.78,16969.20,20250724_232830,loan_זכאות_int_3.83_term_60_infl_4.0_summary.csv
"עוגן מק""מ",3.55,360,1.0,100000,"עוגן מק""מ",בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004918,"loan_עוגן מק""מ_int_3.55_term_360_infl_1.0_summary.csv"
קבועה לא צמודה,4.92,90,1.0,100000,קבועה לא צמודה,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230252,loan_קבועה לא צמודה_int_4.92_term_90_infl_1.0_summary.csv
קבועה צמודה,3.55,330,3.0,100000,קבועה צמודה,בוליט,330,151789.90,243684.46,761374.82,279663.17,93221.06,,668153.76,-127873.27,20250725_003727,loan_קבועה צמודה_int_3.55_term_330_infl_3.0_summary.csv
קבועה לא צמודה,5.05,360,3.0,100000,קבועה לא צמודה,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231651,loan_קבועה לא צמודה_int_5.05_term_360_infl_3.0_summary.csv
פריים,4.92,120,1.0,100000,פריים,בוליט,120,49200.00,94010.00,134340.87,18725.21,6241.74,,128099.13,30474.79,20250724_224850,loan_פריים_int_4.92_term_120_infl_1.0_summary.csv
"עוגן מק""מ",3.83,60,1.0,100000,"עוגן מק""מ",בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_233029,"loan_עוגן מק""מ_int_3.83_term_60_infl_1.0_summary.csv"
זכאות,3.55,360,3.0,100000,זכאות,בוליט,360,172823.98,258702.84,918125.06,363166.78,121055.59,,797069.47,-190342.80,20250725_004705,loan_זכאות_int_3.55_term_360_infl_3.0_summary.csv
משתנה צמודה כל 5,3.45,90,2.0,100000,קבועה צמודה,בוליט,90,30217.64,76970.25,100721.23,10782.01,3594.00,,97127.23,19435.63,20250724_233505,loan_משתנה צמודה כל 5_int_3.45_term_90_infl_2.0_summary.csv
משתנה צמודה כל 10,3.67,240,2.0,100000,משתנה צמודה כל 10,בוליט,240,90308.96,196947.13,425579.53,116023.11,38674.37,,386905.16,-25714.15,20250725_002034,loan_משתנה צמודה כל 10_int_3.67_term_240_infl_2.0_summary.csv
משתנה צמודה כל 10,3.55,360,3.0,100000,משתנה צמודה כל 10,בוליט,360,172823.98,258702.84,918125.06,363166.78,121055.59,,797069.47,-190342.80,20250725_005223,loan_משתנה צמודה כל 10_int_3.55_term_360_infl_3.0_summary.csv
זכאות,3.45,90,4.0,100000,זכאות,בוליט,90,30217.64,76970.25,100721.23,10782.01,3594.00,,97127.23,19435.63,20250724_233623,loan_זכאות_int_3.45_term_90_infl_4.0_summary.csv
משתנה צמודה כל שנה,3.35,180,1.0,100000,משתנה צמודה כל שנה,בוליט,180,54235.32,160889.01,279877.23,57793.02,19264.34,,260612.89,-3557.70,20250725_000250,loan_משתנה צמודה כל שנה_int_3.35_term_180_infl_1.0_summary.csv
משתנה לא צמודה כל 5,4.92,90,3.0,100000,קבועה לא צמודה,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230410,loan_משתנה לא צמודה כל 5_int_4.92_term_90_infl_3.0_summary.csv
משתנה צמודה כל 10,3.63,300,4.0,100000,משתנה צמודה כל 2,בוליט,300,156042.60,203578.31,584386.47,202194.81,67398.27,,516988.20,-46152.20,20250725_003648,loan_משתנה צמודה כל 10_int_3.63_term_300_infl_4.0_summary.csv
משתנה צמודה כל שנה,3.63,270,1.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002629,loan_משתנה צמודה כל שנה_int_3.63_term_270_infl_1.0_summary.csv
זכאות,3.45,120,1.0,100000,זכאות,בוליט,120,36298.31,106819.41,152928.07,21412.63,7137.54,,145790.52,14885.68,20250724_234335,loan_זכאות_int_3.45_term_120_infl_1.0_summary.csv
יורו,3.67,240,4.0,100000,יורו,בוליט,240,73400.00,213705.83,452927.94,121169.82,40389.94,,412538.00,-47769.82,20250725_001637,loan_יורו_int_3.67_term_240_infl_4.0_summary.csv
קבועה לא צמודה,4.92,120,3.0,100000,קבועה לא צמודה,בוליט,120,49200.00,94010.00,134340.87,18725.21,6241.74,,128099.13,30474.79,20250724_225009,loan_קבועה לא צמודה_int_4.92_term_120_infl_3.0_summary.csv
משתנה צמודה כל 2,3.35,180,3.0,100000,משתנה צמודה כל 2,בוליט,180,63521.62,151715.96,266833.67,55976.65,18658.88,,248174.78,7544.96,20250725_000410,loan_משתנה צמודה כל 2_int_3.35_term_180_infl_3.0_summary.csv
יורו,3.83,60,2.0,100000,יורו,בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_232857,loan_יורו_int_3.83_term_60_infl_2.0_summary.csv
"עוגן מק""מ",3.35,180,1.0,100000,"עוגן מק""מ",בוליט,180,50250.00,164829.17,285554.80,58610.13,19536.71,,266018.09,-8360.13,20250725_000158,"loan_עוגן מק""מ_int_3.35_term_180_infl_1.0_summary.csv"
דולר,3.35,180,2.0,100000,דולר,בוליט,180,50250.00,164829.17,285554.80,58610.13,19536.71,,266018.09,-8360.13,20250725_000118,loan_דולר_int_3.35_term_180_infl_2.0_summary.csv
